0,1,2,3,4,5
4588,-9816,13224,-14196,-1109,2503
1064,-15624,8412,-6324,368,938
1536,-11568,11372,803,-3198,572
2524,-15220,7892,9391,-4519,-3039
8296,-8688,11420,23441,-5079,-418
9436,1248,10176,32511,1448,1673
8952,-9472,16368,32511,-2452,171
4588,13428,15488,20660,-2796,8964
6924,12612,12324,9525,246,-3042
5472,11140,9936,3754,1302,-1744
5260,11540,11636,-1367,1498,-1577
5260,10212,12924,-3642,569,-1521
5480,11012,11956,-7565,1204,-503
6016,10476,12764,-6358,-497,-7318
6348,8704,10552,-21735,1562,-7242
7160,4472,13020,-22640,3360,-10236
6176,-1136,15428,-29200,1808,-13399
4996,-12824,15256,-8992,5865,-9679
3076,-8764,14976,-8837,-636,-3213
3452,-11624,9672,-6379,2412,1612
3740,-12392,10292,338,119,5068
2772,-15412,7968,8005,-3288,1564
3080,-11604,9260,19125,-2468,558
4796,-14604,18024,23814,-8083,151
1668,9832,10480,32511,-5420,4625
4092,19256,14356,13866,999,2652
5004,8760,12068,1198,1052,99
4960,8624,12792,-2900,102,-2552
5916,10880,14920,-13823,298,-6109
6556,6340,12496,-18002,3218,-7283
6396,4940,16600,-32512,-2069,-13657
7668,-11128,16392,-19297,3647,-5547
8712,-8588,16156,-20831,-1341,252
5692,-9620,11832,-11402,-4075,6150
2248,-11560,10920,1255,-557,2817
4640,-15568,8788,16821,-2014,181
6524,-5004,13140,14323,-1804,4059
8924,-4928,15308,32511,-884,3800
3812,14896,16344,27418,-5280,4128
4212,7952,11012,8469,628,-2868
4836,12852,11704,-2461,1079,-676
7004,11820,13572,-5148,-2646,-2408
6304,5924,10752,-20222,1056,-3048
4284,-3128,17160,-16983,1277,-14837
6508,-5168,14848,-13394,12204,-7838
3084,-9488,15912,-12192,-14,-5766
3868,-12760,10432,-6499,-1242,4298
2928,-11668,10100,-703,-1442,4175
2996,-13392,9164,9992,-4582,-2236
7760,-11888,10828,17608,-2068,-2298
8832,-6668,12912,32511,851,7913
13440,14112,9544,25982,-495,5555
4004,10316,11672,6715,1740,360
4784,11808,11500,-6378,539,-2303
6360,10764,11916,-4817,-2357,-3035
10260,13140,12604,-20022,174,-1151
2968,-8988,16808,-16744,3539,-14640
4576,-6952,13940,-15105,13311,-10111
2556,-6652,15076,-15128,823,-5378
2836,-11280,10988,-4978,-2801,4405
980,-11096,11936,936,-1636,1377
4676,-14436,9404,13686,-1415,1208
2340,-4196,14672,22462,-1883,10
12236,-4076,15008,32511,-4030,3172
7488,7708,13176,24358,-5864,7845
4984,9572,10312,3726,1252,1182
5748,9656,12976,-6361,798,-1146
6172,12248,12880,-9629,984,-4979
3804,-1904,13548,-21803,5071,-15942
6248,-2740,16324,-21437,11767,-5914
-3208,20,17152,-13202,590,-5925
4800,-10284,9660,-5238,3345,3694
2840,-9620,11392,-1967,-1507,4576
2836,-12276,8500,4591,-4020,85
6028,-7828,11444,16361,-2724,-627
3532,4684,9712,32511,-4864,-5
7400,18720,12536,17737,-268,2297
7752,12796,10224,691,3082,1835
5416,10116,12932,-6602,835,-1808
6352,9056,13084,-2667,-554,-2970
10440,16528,12960,-4569,-2113,-7088
3584,6388,14368,-22109,1135,-11775
5764,328,16672,-32512,465,-9964
4876,-10380,14984,-13977,4785,-9556
4720,-7676,11764,-9416,3456,-4645
6300,-12464,10440,-1027,1118,2960
3300,-9404,14028,-959,-1094,5424
2528,-13224,12440,10837,-785,3912
1676,-12656,14276,22619,-3278,4517
7296,-11608,16716,25956,-5359,7655
10612,11240,11860,32462,-6050,10411
5712,9524,12172,11461,-750,5028
7112,8996,11852,-3593,2853,2040
6444,6876,13104,-2677,-752,-4227
7872,12464,13388,-10168,4541,-7985
5092,3576,13240,-21834,4749,-12854
6404,1168,16596,-32512,379,-12336
8044,-8736,14904,-15386,6165,-5129
6648,-2592,12904,30851,-2799,11605
11484,9168,12868,32511,-4378,4035
3836,14020,12860,12094,-2084,2614
5352,11252,10496,713,2003,1720
5748,10944,13608,-4924,856,-2392
5548,7468,13176,-6911,843,-3755
