0,1,2,3,4,5
-5716,5880,15120,-12956,-438,374
-6056,3800,15268,-14782,-541,1194
-5228,1588,15708,-8425,4685,5896
-4180,-3080,17520,-7332,1299,4377
-6696,-5300,14096,-5121,-549,-6182
100,-3468,15260,-13268,-4033,8516
-3528,-5896,16008,-7488,4623,1799
-7464,-7216,14356,14659,486,1954
-8128,2304,16284,1444,-1991,-4264
-4480,-4156,17964,4871,-267,-4576
-7796,-5668,20324,32511,8243,-119
-3384,7988,16104,19000,3509,-1480
-4912,7748,14176,9267,-591,-584
-4840,9368,14232,-4584,650,107
-2412,5172,15652,-17745,-1488,-4263
-3496,904,17392,-17962,1782,3028
-4740,-2988,17996,-5818,1884,4949
-7532,-1620,17680,-5664,9267,-6855
-6896,-6496,13184,-10967,-3897,-716
-3384,-8688,13232,-2559,-1320,957
-5848,-7860,13144,5634,3408,803
-8316,-4188,14964,8539,-1861,-185
-4544,-188,17596,7465,-219,-8932
-5372,6144,13020,32511,7170,-6620
-5804,4844,14416,9924,1953,-1120
-4796,7692,14688,6416,1142,-1228
-4216,5168,13812,3148,344,1240
-5900,8036,15016,-1709,-7,-424
-4708,8428,16192,-12890,333,1537
-5644,316,12884,-23588,1786,2457
-6884,-1520,21948,-4669,1321,-2181
-8448,-6312,17428,-6712,-2144,-3358
-3572,-4920,14716,-985,-1956,-1410
-3632,-5844,13560,1360,2265,1507
-7464,-3000,13556,7494,561,1030
-3664,476,15808,3942,-72,-4613
-4080,-9640,19220,11258,-481,-5686
-4836,5120,13828,18266,612,1411
-5424,3924,15256,11724,-208,173
-3900,10392,14264,991,-28,1093
-4880,10492,14044,-17938,-1612,-1215
-6012,3192,15120,-20051,3331,1809
-5288,-4776,17660,-6125,3242,1276
-8088,-2648,17932,-10378,5844,-9359
-6576,-6616,13156,-12772,-976,-2333
-2680,-10896,14096,800,256,-1802
-3460,-13720,10476,18436,4030,3659
-8408,1172,14900,2839,-513,-3113
-4348,-1496,18812,7397,-1488,-6999
-4456,5416,12596,17663,2352,3215
-4016,8996,17580,11233,3257,616
-3676,9656,14376,2399,-1808,-887
-5200,10852,15744,-15186,321,-1373
-7192,2220,13176,-18446,2854,638
-4520,168,17904,-12831,1261,2731
-7112,-3008,16696,-11270,4985,-4678
-3396,-9544,14648,-13798,-5865,-1750
-1152,-9840,13112,-6422,-3194,-2869
-2312,-13208,12180,8918,3088,4870
-5284,-1252,15852,9804,1370,-3861
-4368,-2028,17040,6695,-2838,-4726
-2600,6460,15892,22968,1433,-1423
-2996,3828,16516,9511,5127,-1598
-3364,14884,13364,9799,1985,-1780
-5828,12424,12320,-18726,2904,-1959
-6136,1372,13836,-21458,1205,501
-10712,-2664,16068,-4524,4548,-1780
-6352,-9748,14372,-22849,-4291,-4398
-3704,-9592,10812,-9227,-4090,-590
-2868,8224,14884,4381,437,2674
-3908,14268,16176,-9395,1664,-368
-4744,4596,14176,-22405,3453,-122
-7728,-2192,16904,-16759,6857,4295
-5580,-2700,16200,-13763,5245,-4249
-3868,-11068,12268,-14978,-2582,-2107
-3080,-11868,12692,-1895,-973,-3948
-3268,-14472,11696,16961,4091,4246
-11348,-3268,12544,8170,1640,-4580
-4340,-580,15992,13962,-2159,-4227
-5656,304,16220,20041,1048,-2647
-2784,7036,16716,10349,1238,867
-3320,5064,13988,8144,640,1572
-4380,13268,14308,-6168,2639,24
-5368,5912,13996,-19027,1182,1523
-6516,-364,14864,-21713,1433,-112
-4664,-2192,19912,-13879,2742,-4340
-4476,-6760,15392,-18581,-2003,-1707
-2864,-12644,11900,419,1503,-1274
-5360,-13168,10660,18718,1592,4269
-7304,-836,16328,8062,893,-2934
-5012,-1108,17396,8010,-336,-494
-6804,-928,16892,23056,321,-1481
-3824,10556,16376,11342,1098,596
-4128,5460,13852,5218,1187,465
-5616,11972,12940,-7757,1627,-445
-7820,7640,14984,-18966,3373,-1673
-3848,-3908,16840,-7312,3471,2420
-4164,-6100,15492,-18936,-3488,-3029
-5196,-7280,13660,-8075,-2579,-795
-2736,-9552,13844,4324,2735,-135
-4724,-6128,12648,13533,3034,2716
-7048,-1904,17292,1833,1180,-1993
-5600,-5792,17364,12074,-191,-4558
-5172,7164,16244,12653,2093,838
-5696,4540,14408,7127,1035,850
-4776,10140,14556,-7050,1054,1275
-5960,5100,13960,-16441,1319,-1491
-3432,-1332,18020,-16325,4047,1493
-8104,-10720,11968,-13800,3170,-9850
-3512,-9200,13532,-5324,-3063,-3610
-4300,-11732,12600,15641,987,6123
-5764,272,15076,7819,1285,-2750
-4208,-1332,17068,6509,-2174,-3347
-3796,8756,16036,14491,738,347
-5160,6052,14728,7061,1678,-2442
-4640,9092,13568,3089,1068,-135
-5560,9432,15484,-12180,1640,-1070
-6948,-216,14012,-22815,1940,-169
-5672,-3956,17832,-11124,3523,-2304
-5168,-7640,14464,-10811,-4838,1145
-3892,-11024,13088,6890,1864,-687
-8556,-2732,16396,1909,655,-855
-3424,-3844,17708,10733,596,-4328
-5612,10300,13092,15156,-317,687
-3792,8144,16764,9019,-1066,-762
-4480,4728,13668,10601,-198,1848
-3864,12624,14392,-8142,2934,-741
-5132,7772,15316,-19568,2151,246
-4200,-108,14980,-19814,2525,1827
-5696,-3416,18684,-9179,2774,-1108
-4700,-8132,15172,-10868,-622,-205
-5164,-6440,13500,-4484,-1688,-1607
-5612,-10360,12092,5635,2424,1072
-6700,-2896,15472,6270,1661,-2107
-5604,-1940,17068,6136,-1826,-5732
-6200,-4,16392,26111,-11,-4045
-3368,9916,17368,5460,1008,-1235
-4400,6716,13260,7598,520,1891
-3876,9848,14084,-3442,1253,2391
-4296,10776,17284,-11578,797,-2070
-4576,1460,13764,-23504,1762,1603
-2744,-3944,18392,-10229,3180,2030
-4536,-7016,16140,-12792,2009,-2549
-4172,-7304,12592,-8260,-2496,-3493
-1740,-12080,14552,6452,6380,774
-9016,-2844,13724,8328,-313,-969
-3628,-2328,18940,9403,-1710,-3701
-5936,3480,15404,21312,1138,1952
-4648,12516,15360,10295,-327,-1875
