0,1,2,3,4,5
13464,-2604,-4580,-12785,1610,-3526
11156,1076,-5788,-17823,-799,-418
11680,12,-6856,-29752,-1421,3284
17984,-628,-7828,-32512,-4505,-140
8940,9532,-8376,-15499,180,348
10808,9816,-6544,-7349,-1605,2069
10128,9948,-6348,-2236,511,-1094
11080,9872,-6240,9565,3606,-2035
13340,10112,-6352,17146,4585,852
13644,6640,-3524,30867,2293,4376
13596,-700,-7192,14227,-2096,1471
11528,-8152,-5064,28690,-4728,-753
10508,-11644,-4048,18987,-5548,-2431
9464,-13760,-5368,2641,293,-2816
10272,-13960,-4496,-11994,2370,-1644
13180,-10228,-3748,-24343,5000,-2251
12052,2108,-5748,-21259,-3389,-2767
15700,-5560,-15404,-32512,-5334,6269
6476,8600,-9408,-12808,-2398,3690
9224,8104,-7512,-11738,-307,1564
10968,8568,-7548,-3009,825,-2214
9436,9932,-6684,382,1451,-3532
11320,10176,-7272,10730,3733,-1516
14564,8784,-6948,16369,5135,3130
12912,-604,-8280,17241,4247,-3061
11396,-5396,-8932,29392,-7523,-1369
11504,-8068,-6572,16667,-2801,-1462
9980,-9580,-5556,11392,-1300,-2141
8360,-12136,-6112,819,4000,-4742
11220,-11208,-2944,-16861,889,-4619
12656,-552,-7032,-13094,5066,-1729
11524,2708,-7692,-20671,-1332,1649
8296,18440,-4224,-11985,-2820,-6628
11944,6180,-7324,-13918,1621,852
13972,7492,-6268,-7992,-1690,-770
10740,9816,-4452,-254,-110,-1847
11412,11232,-5240,8603,2335,-2178
12988,6484,-5316,18616,2668,-3067
15472,2484,-3600,23737,191,63
14488,1016,-9840,10886,-1116,-108
11796,-6516,-7992,22981,-2914,-875
12020,-5976,-5976,15108,-2083,-2971
10152,-11736,-5276,4996,1278,-2734
10304,-11444,-5400,-12430,3103,-4066
15228,-5332,-160,-26755,923,1938
16304,992,-6320,-13886,-4599,-1334
11920,-1828,-9236,-32727,-2705,1969
10508,9248,-7140,-18179,106,2295
12108,9420,-6364,-8211,-215,1660
8496,7256,-7176,2219,-704,-775
10604,11116,-6976,7840,1466,-1202
12764,7840,-7208,14944,4566,-1769
