,ax_mean,ay_mean,az_mean,wx_mean,wy_mean,wz_mean,ax_var,ay_var,az_var,wx_var,wy_var,wz_var,ax_std,ay_std,az_std,wx_std,wy_std,wz_std,ax_rms,ay_rms,az_rms,wx_rms,wy_rms,wz_rms,ax_skew,ay_skew,az_skew,wx_skew,wy_skew,wz_skew,ax_kurt,ay_kurt,az_kurt,wx_kurt,wy_kurt,wz_kurt,ax_med,ay_med,az_med,wx_med,wy_med,wz_med,ax_min,ay_min,az_min,wx_min,wy_min,wz_min,ax_max,ay_max,az_max,wx_max,wy_max,wz_max,ax_per,ay_per,az_per,wx_per,wy_per,wz_per,ax_cv,ay_cv,az_cv,wx_cv,wy_cv,wz_cv,ax_ptp,ay_ptp,az_ptp,wx_ptp,wy_ptp,wz_ptp,label
0,3203.8333333333335,4550.0,6893.666666666667,7565.0,9443.333333333334,10305.5,58369635.47222222,63796038.333333336,85279868.8888889,71349225.0,45640017.22222222,104750199.58333333,7640.002321480159,7987.242223279155,9234.710005673644,8446.847044903796,6755.739576258266,10234.754495508592,8284.575034363561,9192.308650895777,11523.997093022888,11339.243801947288,11611.05342622566,14524.239389149896,-0.5397581142733157,-0.708603309644946,-0.18614143304541098,-0.20565786961008536,0.5844518882449751,0.30538011469097964,-0.9890600456690977,-0.7592271659951857,-0.9354358028493954,-0.8961241279315968,-1.3008200202943232,-0.6151422515798446,4399.0,6364.5,8399.0,8327.0,6713.5,8238.0,-10184,-10096,-7972,-6440,2141,-5175,11204,12881,20733,20034,20424,27949,11110.75,10452.25,10675.25,9188.0,10142.25,8780.25,2.384644120526502,1.755437851270144,1.339593347372996,1.1165693383878117,0.7153977666351853,0.9931351701041766,21388,22977,28705,26474,18283,33124,2
1,4550.0,6893.666666666667,7565.0,9443.333333333334,10305.5,10222.166666666666,63796038.333333336,85279868.8888889,71349225.0,45640017.22222222,104750199.58333333,27356548.138888884,7987.242223279155,9234.710005673644,8446.847044903796,6755.739576258266,10234.754495508592,5230.348758819901,9192.308650895777,11523.997093022888,11339.243801947288,11611.05342622566,14524.239389149896,11482.562410019813,-0.708603309644946,-0.18614143304541098,-0.20565786961008536,0.5844518882449751,0.30538011469097964,-0.531922677650231,-0.7592271659951857,-0.9354358028493954,-0.8961241279315968,-1.3008200202943232,-0.6151422515798446,-1.0331076634961889,6364.5,8399.0,8327.0,6713.5,8238.0,11404.0,-10096,-7972,-6440,2141,-5175,1162,12881,20733,20034,20424,27949,16323,10452.25,10675.25,9188.0,10142.25,8780.25,7192.0,1.755437851270144,1.339593347372996,1.1165693383878117,0.7153977666351853,0.9931351701041766,0.5116673332939756,22977,28705,26474,18283,33124,15161,2
2,6893.666666666667,7565.0,9443.333333333334,10305.5,10222.166666666666,6683.166666666667,85279868.8888889,71349225.0,45640017.22222222,104750199.58333333,27356548.138888884,44862286.13888887,9234.710005673644,8446.847044903796,6755.739576258266,10234.754495508592,5230.348758819901,6697.931482098699,11523.997093022888,11339.243801947288,11611.05342622566,14524.239389149896,11482.562410019813,9461.87100067071,-0.18614143304541098,-0.20565786961008536,0.5844518882449751,0.30538011469097964,-0.531922677650231,0.9360368410679735,-0.9354358028493954,-0.8961241279315968,-1.3008200202943232,-0.6151422515798446,-1.0331076634961889,-0.2660127827348924,8399.0,8327.0,6713.5,8238.0,11404.0,5107.5,-7972,-6440,2141,-5175,1162,-632,20733,20034,20424,27949,16323,19772,10675.25,9188.0,10142.25,8780.25,7192.0,6408.25,1.339593347372996,1.1165693383878117,0.7153977666351853,0.9931351701041766,0.5116673332939756,1.0022092544101397,28705,26474,18283,33124,15161,20404,2
3,7565.0,9443.333333333334,10305.5,10222.166666666666,6683.166666666667,1959.1666666666667,71349225.0,45640017.22222222,104750199.58333333,27356548.138888884,44862286.13888887,75712614.47222221,8446.847044903796,6755.739576258266,10234.754495508592,5230.348758819901,6697.931482098699,8701.299585247149,11339.243801947288,11611.05342622566,14524.239389149896,11482.562410019813,9461.87100067071,8919.133842475962,-0.20565786961008536,0.5844518882449751,0.30538011469097964,-0.531922677650231,0.9360368410679735,-0.1371792514895529,-0.8961241279315968,-1.3008200202943232,-0.6151422515798446,-1.0331076634961889,-0.2660127827348924,-0.8934059606777907,8327.0,6713.5,8238.0,11404.0,5107.5,1748.5,-6440,2141,-5175,1162,-632,-12293,20034,20424,27949,16323,19772,14816,9188.0,10142.25,8780.25,7192.0,6408.25,10017.0,1.1165693383878117,0.7153977666351853,0.9931351701041766,0.5116673332939756,1.0022092544101397,4.441326883154648,26474,18283,33124,15161,20404,27109,2
4,9443.333333333334,10305.5,10222.166666666666,6683.166666666667,1959.1666666666667,1613.0,45640017.22222222,104750199.58333333,27356548.138888884,44862286.13888887,75712614.47222221,87239004.66666667,6755.739576258266,10234.754495508592,5230.348758819901,6697.931482098699,8701.299585247149,9340.1822608912,11611.05342622566,14524.239389149896,11482.562410019813,9461.87100067071,8919.133842475962,9478.437300877538,0.5844518882449751,0.30538011469097964,-0.531922677650231,0.9360368410679735,-0.1371792514895529,-0.29652630796987184,-1.3008200202943232,-0.6151422515798446,-1.0331076634961889,-0.2660127827348924,-0.8934059606777907,-1.246313553289819,6713.5,8238.0,11404.0,5107.5,1748.5,2342.5,2141,-5175,1162,-632,-12293,-13456,20424,27949,16323,19772,14816,12328,10142.25,8780.25,7192.0,6408.25,10017.0,14836.0,0.7153977666351853,0.9931351701041766,0.5116673332939756,1.0022092544101397,4.441326883154648,5.790565567818476,18283,33124,15161,20404,27109,25784,2
5,10305.5,10222.166666666666,6683.166666666667,1959.1666666666667,1613.0,841.3333333333334,104750199.58333333,27356548.138888884,44862286.13888887,75712614.47222221,87239004.66666667,110076839.88888888,10234.754495508592,5230.348758819901,6697.931482098699,8701.299585247149,9340.1822608912,10491.751040169076,14524.239389149896,11482.562410019813,9461.87100067071,8919.133842475962,9478.437300877538,10525.430236653829,0.30538011469097964,-0.531922677650231,0.9360368410679735,-0.1371792514895529,-0.29652630796987184,-0.34210349387747674,-0.6151422515798446,-1.0331076634961889,-0.2660127827348924,-0.8934059606777907,-1.246313553289819,-1.2158167439390226,8238.0,11404.0,5107.5,1748.5,2342.5,2492.0,-5175,1162,-632,-12293,-13456,-16427,27949,16323,19772,14816,12328,14084,8780.25,7192.0,6408.25,10017.0,14836.0,14288.75,0.9931351701041766,0.5116673332939756,1.0022092544101397,4.441326883154648,5.790565567818476,12.47038554695215,33124,15161,20404,27109,25784,30511,2
6,10222.166666666666,6683.166666666667,1959.1666666666667,1613.0,841.3333333333334,-1630.6666666666667,27356548.138888884,44862286.13888887,75712614.47222221,87239004.66666667,110076839.88888888,194657799.55555555,5230.348758819901,6697.931482098699,8701.299585247149,9340.1822608912,10491.751040169076,13951.981922134057,11482.562410019813,9461.87100067071,8919.133842475962,9478.437300877538,10525.430236653829,14046.952457146474,-0.531922677650231,0.9360368410679735,-0.1371792514895529,-0.29652630796987184,-0.34210349387747674,-0.6922752242705206,-1.0331076634961889,-0.2660127827348924,-0.8934059606777907,-1.246313553289819,-1.2158167439390226,-0.8748763852933665,11404.0,5107.5,1748.5,2342.5,2492.0,2499.0,1162,-632,-12293,-13456,-16427,-26752,16323,19772,14816,12328,14084,13176,7192.0,6408.25,10017.0,14836.0,14288.75,18745.0,0.5116673332939756,1.0022092544101397,4.441326883154648,5.790565567818476,12.47038554695215,-8.55599872575678,15161,20404,27109,25784,30511,39928,2
7,6683.166666666667,1959.1666666666667,1613.0,841.3333333333334,-1630.6666666666667,-4186.5,44862286.13888887,75712614.47222221,87239004.66666667,110076839.88888888,194657799.55555555,149356934.58333334,6697.931482098699,8701.299585247149,9340.1822608912,10491.751040169076,13951.981922134057,12221.167480373279,9461.87100067071,8919.133842475962,9478.437300877538,10525.430236653829,14046.952457146474,12918.348069057953,0.9360368410679735,-0.1371792514895529,-0.29652630796987184,-0.34210349387747674,-0.6922752242705206,-0.3004613531692341,-0.2660127827348924,-0.8934059606777907,-1.246313553289819,-1.2158167439390226,-0.8748763852933665,-0.9604774229813811,5107.5,1748.5,2342.5,2492.0,2499.0,-4441.0,-632,-12293,-13456,-16427,-26752,-24869,19772,14816,12328,14084,13176,11420,6408.25,10017.0,14836.0,14288.75,18745.0,15913.5,1.0022092544101397,4.441326883154648,5.790565567818476,12.47038554695215,-8.55599872575678,-2.919184875283239,20404,27109,25784,30511,39928,36289,2
8,1959.1666666666667,1613.0,841.3333333333334,-1630.6666666666667,-4186.5,-3970.1666666666665,75712614.47222221,87239004.66666667,110076839.88888888,194657799.55555555,149356934.58333334,159032211.4722222,8701.299585247149,9340.1822608912,10491.751040169076,13951.981922134057,12221.167480373279,12610.797416191499,8919.133842475962,9478.437300877538,10525.430236653829,14046.952457146474,12918.348069057953,13220.984639327486,-0.1371792514895529,-0.29652630796987184,-0.34210349387747674,-0.6922752242705206,-0.3004613531692341,-0.2340629731857733,-0.8934059606777907,-1.246313553289819,-1.2158167439390226,-0.8748763852933665,-0.9604774229813811,-0.9716452465171375,1748.5,2342.5,2492.0,2499.0,-4441.0,-4971.5,-12293,-13456,-16427,-26752,-24869,-25090,14816,12328,14084,13176,11420,12200,10017.0,14836.0,14288.75,18745.0,15913.5,15963.75,4.441326883154648,5.790565567818476,12.47038554695215,-8.55599872575678,-2.919184875283239,-3.1763899289345114,27109,25784,30511,39928,36289,37290,2
9,1613.0,841.3333333333334,-1630.6666666666667,-4186.5,-3970.1666666666665,305.6666666666667,87239004.66666667,110076839.88888888,194657799.55555555,149356934.58333334,159032211.4722222,69103709.8888889,9340.1822608912,10491.751040169076,13951.981922134057,12221.167480373279,12610.797416191499,8312.864120680002,9478.437300877538,10525.430236653829,14046.952457146474,12918.348069057953,13220.984639327486,8318.481952856542,-0.29652630796987184,-0.34210349387747674,-0.6922752242705206,-0.3004613531692341,-0.2340629731857733,0.059292371157794406,-1.246313553289819,-1.2158167439390226,-0.8748763852933665,-0.9604774229813811,-0.9716452465171375,-1.34134092618923,2342.5,2492.0,2499.0,-4441.0,-4971.5,-722.0,-13456,-16427,-26752,-24869,-25090,-11792,12328,14084,13176,11420,12200,10828,14836.0,14288.75,18745.0,15913.5,15963.75,13279.5,5.790565567818476,12.47038554695215,-8.55599872575678,-2.919184875283239,-3.1763899289345114,27.19584772305344,25784,30511,39928,36289,37290,22620,2
