,ax_mean,ay_mean,az_mean,wx_mean,wy_mean,wz_mean,ax_var,ay_var,az_var,wx_var,wy_var,wz_var,ax_std,ay_std,az_std,wx_std,wy_std,wz_std,ax_rms,ay_rms,az_rms,wx_rms,wy_rms,wz_rms,ax_skew,ay_skew,az_skew,wx_skew,wy_skew,wz_skew,ax_kurt,ay_kurt,az_kurt,wx_kurt,wy_kurt,wz_kurt,ax_med,ay_med,az_med,wx_med,wy_med,wz_med,ax_min,ay_min,az_min,wx_min,wy_min,wz_min,ax_max,ay_max,az_max,wx_max,wy_max,wz_max,ax_per,ay_per,az_per,wx_per,wy_per,wz_per,ax_cv,ay_cv,az_cv,wx_cv,wy_cv,wz_cv,ax_ptp,ay_ptp,az_ptp,wx_ptp,wy_ptp,wz_ptp,label
0,-1403.5,-2099.3333333333335,-3842.1666666666665,-4604.833333333333,-812.5,1199.1666666666667,62616439.916666664,75190717.8888889,165473202.13888887,222535675.4722222,79558594.58333333,51371206.47222223,7913.055030559731,8671.258149132045,12863.638759654628,14917.6296867908,8919.562465913523,7167.370959579407,8036.557233459279,8921.766547793846,13425.179582908131,15612.180036753356,8956.492105357618,7266.994369522153,0.6041291396116315,-0.4012353576766385,-1.0373035546824114,-0.5065655872962732,-0.36718696624160474,0.18862581664860256,-0.20098001725237857,-0.2792182756985806,0.11426432507442064,-0.07988798299768929,-1.1490061077538478,-1.5452574872510751,-3065.0,-608.5,-704.5,-2566.5,264.0,232.0,-12785,-17823,-29752,-32512,-15499,-7349,13464,11156,11680,17984,9532,10808,4873.0,5243.25,7963.25,6735.25,13029.0,13188.5,-5.638086947317229,-4.130481811272806,-3.348016854983203,-3.239559090837338,-10.97792303497049,5.976959799510277,26249,28979,41432,50496,25031,18157,3
1,-2099.3333333333335,-3842.1666666666665,-4604.833333333333,-812.5,1199.1666666666667,1818.1666666666667,75190717.8888889,165473202.13888887,222535675.4722222,79558594.58333333,51371206.47222223,38076577.47222223,8671.258149132045,12863.638759654628,14917.6296867908,8919.562465913523,7167.370959579407,6170.622130079125,8921.766547793846,13425.179582908131,15612.180036753356,8956.492105357618,7266.994369522153,6432.908168161582,-0.4012353576766385,-1.0373035546824114,-0.5065655872962732,-0.36718696624160474,0.18862581664860256,0.3355370431713768,-0.2792182756985806,0.11426432507442064,-0.07988798299768929,-1.1490061077538478,-1.5452574872510751,-1.398789531404708,-608.5,-704.5,-2566.5,264.0,232.0,-291.5,-17823,-29752,-32512,-15499,-7349,-6348,11156,11680,17984,9532,10808,10128,5243.25,7963.25,6735.25,13029.0,13188.5,9539.25,-4.130481811272806,-3.348016854983203,-3.239559090837338,-10.97792303497049,5.976959799510277,3.3938704537973003,28979,41432,50496,25031,18157,16476,3
2,-3842.1666666666665,-4604.833333333333,-812.5,1199.1666666666667,1818.1666666666667,4308.0,165473202.13888887,222535675.4722222,79558594.58333333,51371206.47222223,38076577.47222223,42740147.666666664,12863.638759654628,14917.6296867908,8919.562465913523,7167.370959579407,6170.622130079125,6537.594945135915,13425.179582908131,15612.180036753356,8956.492105357618,7266.994369522153,6432.908168161582,7829.368535627038,-1.0373035546824114,-0.5065655872962732,-0.36718696624160474,0.18862581664860256,0.3355370431713768,-0.4777936955877465,0.11426432507442064,-0.07988798299768929,-1.1490061077538478,-1.5452574872510751,-1.398789531404708,-1.3738489855235771,-704.5,-2566.5,264.0,232.0,-291.5,6585.5,-29752,-32512,-15499,-7349,-6348,-6240,11680,17984,9532,10808,10128,11080,7963.25,6735.25,13029.0,13188.5,9539.25,10420.0,-3.348016854983203,-3.239559090837338,-10.97792303497049,5.976959799510277,3.3938704537973003,1.5175475731513266,41432,50496,25031,18157,16476,17320,3
3,-4604.833333333333,-812.5,1199.1666666666667,1818.1666666666667,4308.0,6613.833333333333,222535675.4722222,79558594.58333333,51371206.47222223,38076577.47222223,42740147.666666664,62305457.47222222,14917.6296867908,8919.562465913523,7167.370959579407,6170.622130079125,6537.594945135915,7893.38061113375,15612.180036753356,8956.492105357618,7266.994369522153,6432.908168161582,7829.368535627038,10297.97304489254,-0.5065655872962732,-0.36718696624160474,0.18862581664860256,0.3355370431713768,-0.4777936955877465,-0.2927861059396999,-0.07988798299768929,-1.1490061077538478,-1.5452574872510751,-1.398789531404708,-1.3738489855235771,-1.1159804623459215,-2566.5,264.0,232.0,-291.5,6585.5,7348.5,-32512,-15499,-7349,-6348,-6240,-6352,17984,9532,10808,10128,11080,17146,6735.25,13029.0,13188.5,9539.25,10420.0,10747.75,-3.239559090837338,-10.97792303497049,5.976959799510277,3.3938704537973003,1.5175475731513266,1.1934653042058943,50496,25031,18157,16476,17320,23498,3
4,-812.5,1199.1666666666667,1818.1666666666667,4308.0,6613.833333333333,9049.333333333334,79558594.58333333,51371206.47222223,38076577.47222223,42740147.666666664,62305457.47222222,121417203.88888888,8919.562465913523,7167.370959579407,6170.622130079125,6537.594945135915,7893.38061113375,11018.94749460623,8956.492105357618,7266.994369522153,6432.908168161582,7829.368535627038,10297.97304489254,14258.598727317725,-0.36718696624160474,0.18862581664860256,0.3355370431713768,-0.4777936955877465,-0.2927861059396999,1.0053482295797127,-1.1490061077538478,-1.5452574872510751,-1.398789531404708,-1.3738489855235771,-1.1159804623459215,-0.12142360697056276,264.0,232.0,-291.5,6585.5,7348.5,5508.0,-15499,-7349,-6348,-6240,-6352,-3524,9532,10808,10128,11080,17146,30867,13029.0,13188.5,9539.25,10420.0,10747.75,9079.25,-10.97792303497049,5.976959799510277,3.3938704537973003,1.5175475731513266,1.1934653042058943,1.2176529572645751,25031,18157,16476,17320,23498,34391,3
5,1199.1666666666667,1818.1666666666667,4308.0,6613.833333333333,9049.333333333334,3217.6666666666665,51371206.47222223,38076577.47222223,42740147.666666664,62305457.47222222,121417203.88888888,63985065.55555555,7167.370959579407,6170.622130079125,6537.594945135915,7893.38061113375,11018.94749460623,7999.066542763321,7266.994369522153,6432.908168161582,7829.368535627038,10297.97304489254,14258.598727317725,8621.974503171146,0.18862581664860256,0.3355370431713768,-0.4777936955877465,-0.2927861059396999,1.0053482295797127,0.36104638707212455,-1.5452574872510751,-1.398789531404708,-1.3738489855235771,-1.1159804623459215,-0.12142360697056276,-1.4092354162643848,232.0,-291.5,6585.5,7348.5,5508.0,385.5,-7349,-6348,-6240,-6352,-3524,-7192,10808,10128,11080,17146,30867,14227,13188.5,9539.25,10420.0,10747.75,9079.25,12311.75,5.976959799510277,3.3938704537973003,1.5175475731513266,1.1934653042058943,1.2176529572645751,2.4859835935242893,18157,16476,17320,23498,34391,21419,3
6,1818.1666666666667,4308.0,6613.833333333333,9049.333333333334,3217.6666666666665,3586.8333333333335,38076577.47222223,42740147.666666664,62305457.47222222,121417203.88888888,63985065.55555555,165639806.13888893,6170.622130079125,6537.594945135915,7893.38061113375,11018.94749460623,7999.066542763321,12870.112903113513,6432.908168161582,7829.368535627038,10297.97304489254,14258.598727317725,8621.974503171146,13360.583052397078,0.3355370431713768,-0.4777936955877465,-0.2927861059396999,1.0053482295797127,0.36104638707212455,1.0475024452458008,-1.398789531404708,-1.3738489855235771,-1.1159804623459215,-0.12142360697056276,-1.4092354162643848,-0.3829685838289558,-291.5,6585.5,7348.5,5508.0,385.5,-2740.5,-6348,-6240,-6352,-3524,-7192,-8152,10128,11080,17146,30867,14227,28690,9539.25,10420.0,10747.75,9079.25,12311.75,13437.75,3.3938704537973003,1.5175475731513266,1.1934653042058943,1.2176529572645751,2.4859835935242893,3.5881547055750698,16476,17320,23498,34391,21419,36842,3
7,4308.0,6613.833333333333,9049.333333333334,3217.6666666666665,3586.8333333333335,970.6666666666666,42740147.666666664,62305457.47222222,121417203.88888888,63985065.55555555,165639806.13888893,108988362.55555557,6537.594945135915,7893.38061113375,11018.94749460623,7999.066542763321,12870.112903113513,10439.749161524695,7829.368535627038,10297.97304489254,14258.598727317725,8621.974503171146,13360.583052397078,10484.777362125213,-0.4777936955877465,-0.2927861059396999,1.0053482295797127,0.36104638707212455,1.0475024452458008,0.624778357078519,-1.3738489855235771,-1.1159804623459215,-0.12142360697056276,-1.4092354162643848,-0.3829685838289558,-1.0142263819436612,6585.5,7348.5,5508.0,385.5,-2740.5,-3239.5,-6240,-6352,-3524,-7192,-8152,-11644,11080,17146,30867,14227,28690,18987,10420.0,10747.75,9079.25,12311.75,13437.75,12446.25,1.5175475731513266,1.1934653042058943,1.2176529572645751,2.4859835935242893,3.5881547055750698,10.755236086735605,17320,23498,34391,21419,36842,30631,3
8,6613.833333333333,9049.333333333334,3217.6666666666665,3586.8333333333335,970.6666666666666,-1591.0,62305457.47222222,121417203.88888888,63985065.55555555,165639806.13888893,108988362.55555557,51253870.0,7893.38061113375,11018.94749460623,7999.066542763321,12870.112903113513,10439.749161524695,7159.180819060237,10297.97304489254,14258.598727317725,8621.974503171146,13360.583052397078,10484.777362125213,7333.836035800092,-0.2927861059396999,1.0053482295797127,0.36104638707212455,1.0475024452458008,0.624778357078519,-0.19268334053353253,-1.1159804623459215,-0.12142360697056276,-1.4092354162643848,-0.3829685838289558,-1.0142263819436612,-0.6269023540076875,7348.5,5508.0,385.5,-2740.5,-3239.5,-1261.5,-6352,-3524,-7192,-8152,-11644,-13760,17146,30867,14227,28690,18987,9464,10747.75,9079.25,12311.75,13437.75,12446.25,6784.0,1.1934653042058943,1.2176529572645751,2.4859835935242893,3.5881547055750698,10.755236086735605,-4.499799383444524,23498,34391,21419,36842,30631,23224,3
9,9049.333333333334,3217.6666666666665,3586.8333333333335,970.6666666666666,-1591.0,-3242.0,121417203.88888888,63985065.55555555,165639806.13888893,108988362.55555557,51253870.0,68286981.33333333,11018.94749460623,7999.066542763321,12870.112903113513,10439.749161524695,7159.180819060237,8263.593729929693,14258.598727317725,8621.974503171146,13360.583052397078,10484.777362125213,7333.836035800092,8876.798146479017,1.0053482295797127,0.36104638707212455,1.0475024452458008,0.624778357078519,-0.19268334053353253,0.22011984703675974,-0.12142360697056276,-1.4092354162643848,-0.3829685838289558,-1.0142263819436612,-0.6269023540076875,-1.0907770148786489,5508.0,385.5,-2740.5,-3239.5,-1261.5,-3070.0,-3524,-7192,-8152,-11644,-13760,-13960,30867,14227,28690,18987,9464,10272,9079.25,12311.75,13437.75,12446.25,6784.0,11486.0,1.2176529572645751,2.4859835935242893,3.5881547055750698,10.755236086735605,-4.499799383444524,-2.5489184854810896,34391,21419,36842,30631,23224,24232,3
