,label
0,0
1,3
2,4
3,1
4,2
5,4
6,4
7,3
8,3
9,1
10,2
11,3
12,0
13,2
14,3
15,3
16,2
17,4
18,4
19,0
20,1
21,3
22,2
23,2
24,1
25,4
26,4
27,2
28,1
29,0
30,0
31,0
32,1
33,3
34,0
35,3
36,4
37,0
38,2
39,1
40,2
41,0
42,1
43,4
44,4
45,3
46,3
47,4
48,2
49,4
50,3
51,1
52,4
53,2
54,0
55,0
56,1
57,3
58,1
59,0
60,1
61,4
62,1
63,4
64,3
65,4
66,3
67,3
68,4
69,3
70,4
71,2
72,3
73,2
74,4
75,2
76,3
77,2
78,4
79,1
80,4
81,3
82,0
83,4
84,4
85,2
86,2
87,0
88,3
89,4
90,4
91,3
92,1
93,3
94,4
95,0
96,2
97,1
98,0
99,1
100,1
101,4
102,3
103,3
104,0
105,2
106,4
107,0
108,0
109,1
110,3
111,3
112,0
113,1
114,1
115,4
116,3
117,3
118,3
119,3
120,2
121,4
122,0
123,2
124,2
125,3
126,3
127,2
128,1
129,3
130,4
131,4
132,1
133,1
134,1
135,3
136,0
137,1
138,1
139,3
140,1
141,3
142,4
143,2
144,2
145,2
146,2
147,0
148,4
149,1
150,3
151,3
152,0
153,3
154,3
155,4
156,0
157,0
158,0
159,2
160,2
161,2
162,3
163,1
164,0
165,4
166,0
167,4
168,0
169,2
170,2
171,1
172,3
173,4
174,1
175,2
176,4
177,1
178,2
179,1
180,0
181,3
182,1
183,1
184,3
185,2
186,4
187,3
188,0
189,2
190,3
191,1
192,0
193,2
194,4
195,3
196,2
197,3
198,3
199,4
200,0
201,1
202,4
203,4
204,0
205,1
206,3
207,4
208,4
209,3
210,2
211,4
212,1
213,3
214,2
215,1
216,2
217,3
218,2
219,3
220,0
221,3
222,3
223,4
224,0
225,3
226,1
227,4
228,4
229,3
230,4
231,1
232,3
233,4
234,3
235,4
236,0
237,3
238,2
239,2
240,4
241,3
242,1
243,3
244,0
245,3
246,3
247,1
248,1
249,3
250,1
251,0
252,1
253,3
254,4
255,1
256,3
257,1
258,1
259,2
260,0
261,2
262,0
263,1
264,2
265,3
266,2
267,3
268,1
269,2
270,1
271,3
272,1
273,1
274,3
275,3
276,2
277,3
278,3
279,0
280,0
281,0
282,0
283,3
284,1
285,2
286,1
287,0
288,2
289,1
290,3
291,3
292,3
293,1
294,0
295,0
296,0
297,0
298,1
299,4
300,1
301,1
302,3
303,1
304,3
305,0
306,4
307,2
308,2
309,2
310,4
311,3
312,2
313,2
314,1
315,3
316,1
317,3
318,4
319,4
320,3
321,4
322,3
323,0
324,3
325,0
326,3
327,2
328,2
329,0
330,3
331,1
332,4
333,1
334,3
335,3
336,1
337,2
338,1
339,0
340,2
341,1
342,4
343,3
344,1
345,3
346,4
347,3
348,4
349,3
350,0
351,0
352,1
353,3
354,3
355,0
356,0
357,4
358,1
359,0
360,3
361,3
362,4
363,3
364,0
365,3
366,1
367,3
368,0
369,3
370,2
371,0
372,0
373,4
374,0
375,4
376,2
377,2
378,3
379,2
380,2
381,0
382,4
383,2
384,4
385,4
386,1
387,1
388,1
389,1
390,3
391,1
392,1
393,4
394,0
395,0
396,4
397,1
398,3
399,2
400,1
401,4
402,1
403,4
404,1
405,3
406,0
407,4
408,2
409,1
410,2
411,1
412,0
413,1
414,0
415,3
416,1
417,0
418,1
419,2
420,0
421,3
422,1
423,2
424,2
425,0
426,0
427,2
428,1
429,4
430,3
431,0
432,2
433,4
434,4
435,3
436,0
437,3
438,4
439,0
440,4
441,1
442,3
443,4
444,3
445,2
446,0
447,3
448,0
449,0
450,4
451,2
452,4
453,1
454,2
455,3
456,4
457,4
458,2
459,4
460,3
461,0
462,4
463,2
464,2
465,3
466,4
467,0
468,3
469,2
470,1
471,4
472,4
473,4
474,0
475,1
476,4
477,4
478,3
479,0
480,1
481,3
482,0
483,2
484,1
485,2
486,4
487,1
488,1
489,0
490,1
491,3
492,3
493,1
494,2
495,4
496,3
497,3
498,4
499,3
