0,1,2,3,4,5
-1544,1412,-15252,381,538,-810
-1208,1372,-15296,-125,728,-828
-1196,1364,-15236,346,724,-1001
-1232,1768,-15128,374,623,-903
-1060,1384,-15220,-297,916,-829
-1132,1380,-15308,313,592,-802
-1140,1552,-15268,549,606,-930
-1284,1484,-15216,656,674,-1016
-1368,1452,-15124,-91,768,-898
-1416,1488,-15080,291,466,-734
-1268,1616,-15212,354,529,-891
-1280,1660,-15260,216,625,-1008
-1472,1552,-15276,112,814,-977
-1268,1620,-15120,351,491,-1015
-1080,1596,-15088,299,730,-873
-1368,1424,-15040,420,512,-858
-1336,1624,-15092,373,511,-925
-1264,1468,-14984,404,500,-808
-1096,1760,-15092,-104,872,-1218
-1132,1584,-15028,192,648,-940
-1128,1696,-15132,216,583,-944
-1344,1616,-15128,109,739,-853
-1388,1368,-14996,530,480,-858
-1336,1352,-14980,352,496,-878
-984,1612,-14868,244,667,-887
-1448,1472,-14984,229,559,-828
-1328,1732,-14900,-28,673,-893
-1092,1400,-14948,-165,805,-681
-1276,1612,-14916,-50,703,-752
-1276,1756,-14996,90,678,-804
-1376,1552,-15040,422,641,-851
-1216,1632,-14996,277,594,-875
-1288,1516,-14960,-7,637,-833
-1104,1592,-15220,23,702,-785
-1204,1540,-15016,255,603,-924
-1080,1424,-14976,411,436,-764
-1216,1288,-14920,253,515,-559
-1360,1472,-15092,341,485,-702
-1292,1492,-14980,161,695,-718
-1352,1540,-15176,213,582,-782
-1236,1736,-14964,372,570,-802
-1056,1448,-14872,-20,694,-945
-1152,1680,-15096,614,517,-1078
-1216,1516,-15008,417,446,-799
-1284,1624,-15152,126,609,-726
-1284,1376,-15124,159,612,-960
-1196,1560,-14792,151,570,-883
-1064,1364,-14992,189,706,-707
-1276,1408,-14916,194,645,-830
-1268,1492,-15140,344,567,-777
-976,1776,-15024,80,621,-868
-988,1352,-15196,245,600,-950
-1244,1492,-15032,363,574,-834
-1408,1420,-14952,-38,823,-715
-1108,1352,-15032,-22,755,-1019
-1228,1480,-15044,442,574,-971
-1112,1732,-14912,239,565,-805
-1288,1444,-15092,-29,610,-896
-1464,1340,-15056,457,495,-879
-1180,1436,-14856,240,585,-860
-1232,1584,-15180,291,607,-927
-1432,1332,-14856,47,621,-768
-1232,1524,-15044,-22,732,-908
-1384,1396,-15108,669,471,-772
-1392,1340,-15000,-57,719,-847
-1292,1684,-15196,113,688,-780
-1140,1516,-15060,-73,682,-797
-1272,1516,-15108,204,697,-934
-1096,1436,-15056,310,526,-841
-1204,1424,-15108,-54,871,-847
-1240,1380,-14888,344,618,-830
-1412,1468,-14856,128,545,-843
-1472,1468,-15056,142,786,-872
-1420,1216,-15124,329,544,-970
-1164,1320,-15092,223,629,-805
-1300,1576,-14888,200,582,-870
-952,1444,-15140,219,685,-905
-1236,1624,-15112,189,837,-1006
-1200,1472,-14868,76,687,-1068
-1308,1492,-14968,397,485,-882
-1292,1464,-15164,84,638,-823
-1228,1484,-15084,302,450,-902
-1284,1284,-15052,32,751,-879
-1484,1484,-15196,78,682,-804
-1188,1528,-14868,-106,757,-846
-1288,1524,-14968,353,610,-867
-1132,1368,-14972,207,808,-887
-1144,1616,-15040,363,627,-895
-1604,1192,-15088,148,736,-774
-1404,1316,-15048,216,697,-843
-1152,1284,-15116,-12,603,-833
-1216,1432,-15076,265,693,-1012
-1124,1548,-15012,120,613,-795
-1408,1416,-14980,256,655,-679
-1228,1216,-14832,-90,730,-866
-1192,1364,-14948,327,524,-883
-1452,1740,-14940,198,737,-846
-1208,1736,-15444,423,297,-997
-1192,1372,-15124,-950,1111,-691
-1312,1548,-15124,1974,-373,-1023
-1284,1176,-14800,-1021,1275,-837
-1292,1412,-15256,-583,842,-807
-1284,1252,-14856,1186,126,-872
-1288,1516,-14744,-34,708,-847
-1312,1384,-14840,449,549,-980
-1304,1576,-15016,67,712,-760
-1352,1456,-15024,181,733,-954
-1316,1420,-14836,351,645,-864
-1272,1400,-15116,232,559,-826
-1184,1764,-14908,-136,812,-885
-1284,1328,-14824,626,637,-1094
-1336,1388,-15076,203,577,-707
-1260,1548,-15040,-170,740,-886
-1296,1460,-14916,-523,864,-616
-1092,1728,-15072,-106,829,-947
-1244,1548,-14852,387,478,-796
-1132,1572,-14992,1094,262,-966
-1144,1620,-14948,-952,1183,-739
-1052,1868,-15140,366,609,-1027
-1168,1564,-14800,-704,1067,-823
-1332,1792,-15036,938,219,-773
-1360,1620,-15044,-270,882,-882
-1032,1756,-15016,257,682,-1050
-1128,1720,-14988,189,572,-839
-1180,1840,-15076,336,662,-881
-1056,1568,-14808,-395,810,-863
-1052,1848,-15072,140,743,-898
-1144,1840,-15188,-86,800,-766
-1116,1688,-14748,521,657,-932
-1140,1828,-14836,1025,441,-948
-1104,1752,-14828,-197,830,-922
-1136,1696,-15040,317,634,-961
-1044,1632,-14964,477,485,-739
-1300,1752,-14980,32,696,-830
-972,1652,-15088,249,759,-1011
-1036,1764,-15040,567,485,-916
-1224,1756,-14948,272,675,-840
-944,1820,-14984,-56,773,-888
-1104,1824,-14740,116,797,-873
-1084,1888,-15124,-23,848,-989
-1152,1880,-14944,-337,783,-695
-1340,1804,-14980,-753,1091,-739
-1148,2064,-15168,458,693,-930
-1056,1840,-14856,4,732,-865
-1160,1780,-14840,-73,764,-906
-1188,1732,-15076,-480,883,-902
-1120,1736,-15152,-150,905,-906
-1060,1860,-15012,356,638,-989
-1164,1964,-15112,519,553,-929
-1064,2092,-15120,209,687,-968
-1316,2192,-15124,360,584,-805
-992,1744,-15176,129,780,-1114
-1020,1720,-14964,229,808,-1006
-1008,1868,-14856,153,644,-967
-1096,1860,-15084,145,646,-915
-1096,1796,-15044,110,567,-925
-1076,1780,-15192,157,730,-965
-1016,1800,-15200,249,575,-703
-1084,1860,-14972,-45,658,-749
-1280,1840,-14880,260,726,-928
-1112,1908,-15004,-50,755,-925
-1176,1740,-14884,-28,797,-888
-992,1952,-15004,-377,816,-916
-1148,1936,-15132,597,531,-1042
-792,1900,-15096,83,727,-828
