0,1,2,3,4,5
13128,-2388,8748,-742,5069,-920
13748,-2204,8872,-2095,3824,-2586
12964,-2932,9792,-2225,3555,-2752
13248,-2332,9768,-2201,3338,-2941
13460,-2224,9432,-2842,3169,-3312
13288,-2320,10060,-2142,1816,-2766
12720,-1964,10340,-1978,1429,-2531
13176,-2032,10636,-1730,1168,-2208
12824,-1864,10488,-981,870,-1616
14444,-1284,13296,-4285,-683,-581
12720,-1524,10512,1625,402,-902
12372,-988,10740,2447,501,-88
13372,624,10604,5393,2399,463
14304,1992,10576,4086,6278,1177
10184,3604,13104,5959,5328,5228
10844,3700,11896,3149,3805,5040
8904,-4744,12464,-4237,8239,4391
7940,-4920,14456,-978,7629,1380
2192,-6128,15236,1635,5157,22
4520,-284,15916,3556,2919,-4258
6288,2640,17900,-714,4469,-10615
3652,-1744,17708,-7867,3211,-8338
3952,1128,19700,-18067,2090,-7913
2420,-7784,16536,-25568,5743,-4277
4412,-14020,6776,-6952,-687,921
5356,10188,12660,10945,-501,-292
5944,11392,12188,2544,654,-1948
8068,12356,12232,-7048,2543,-2230
5404,5460,14292,-18185,4329,-2300
8304,-212,13348,-18424,5177,-10301
1032,-1104,20224,-15860,2014,-14497
7376,-2688,18132,-20876,291,-8706
5104,-6960,15316,-21073,2293,-5626
5068,-11228,14348,-16829,-1544,-662
2944,-12812,9648,-6797,-333,3649
2108,-13644,9448,-2387,-753,3732
1876,-15484,6196,10324,-3523,-911
6732,-14252,10084,21396,-6294,-4004
4568,-7564,15436,27067,-2594,4373
7324,140,16204,32511,-6720,3539
10928,13992,14940,20091,-1686,6800
6848,7836,12808,10476,-192,-147
5744,10312,12164,2469,345,-1192
6756,10520,11236,-5720,1491,-1735
6876,16292,14436,-12423,26,-392
4496,360,13420,-21410,6357,-12418
3968,2468,19560,-30637,4582,-10894
6124,-13668,15868,-10263,4879,-9251
4588,-9816,13224,-14196,-1109,2503
1064,-15624,8412,-6324,368,938
1536,-11568,11372,803,-3198,572
2524,-15220,7892,9391,-4519,-3039
8296,-8688,11420,23441,-5079,-418
9436,1248,10176,32511,1448,1673
8952,-9472,16368,32511,-2452,171
4588,13428,15488,20660,-2796,8964
6924,12612,12324,9525,246,-3042
5472,11140,9936,3754,1302,-1744
5260,11540,11636,-1367,1498,-1577
5260,10212,12924,-3642,569,-1521
5480,11012,11956,-7565,1204,-503
6016,10476,12764,-6358,-497,-7318
6348,8704,10552,-21735,1562,-7242
7160,4472,13020,-22640,3360,-10236
6176,-1136,15428,-29200,1808,-13399
4996,-12824,15256,-8992,5865,-9679
3076,-8764,14976,-8837,-636,-3213
3452,-11624,9672,-6379,2412,1612
3740,-12392,10292,338,119,5068
2772,-15412,7968,8005,-3288,1564
3080,-11604,9260,19125,-2468,558
4796,-14604,18024,23814,-8083,151
1668,9832,10480,32511,-5420,4625
4092,19256,14356,13866,999,2652
5004,8760,12068,1198,1052,99
4960,8624,12792,-2900,102,-2552
5916,10880,14920,-13823,298,-6109
6556,6340,12496,-18002,3218,-7283
6396,4940,16600,-32512,-2069,-13657
7668,-11128,16392,-19297,3647,-5547
8712,-8588,16156,-20831,-1341,252
5692,-9620,11832,-11402,-4075,6150
2248,-11560,10920,1255,-557,2817
4640,-15568,8788,16821,-2014,181
6524,-5004,13140,14323,-1804,4059
8924,-4928,15308,32511,-884,3800
3812,14896,16344,27418,-5280,4128
4212,7952,11012,8469,628,-2868
4836,12852,11704,-2461,1079,-676
7004,11820,13572,-5148,-2646,-2408
6304,5924,10752,-20222,1056,-3048
4284,-3128,17160,-16983,1277,-14837
6508,-5168,14848,-13394,12204,-7838
3084,-9488,15912,-12192,-14,-5766
3868,-12760,10432,-6499,-1242,4298
2928,-11668,10100,-703,-1442,4175
2996,-13392,9164,9992,-4582,-2236
7760,-11888,10828,17608,-2068,-2298
8832,-6668,12912,32511,851,7913
13440,14112,9544,25982,-495,5555
4004,10316,11672,6715,1740,360
4784,11808,11500,-6378,539,-2303
6360,10764,11916,-4817,-2357,-3035
10260,13140,12604,-20022,174,-1151
2968,-8988,16808,-16744,3539,-14640
4576,-6952,13940,-15105,13311,-10111
2556,-6652,15076,-15128,823,-5378
2836,-11280,10988,-4978,-2801,4405
980,-11096,11936,936,-1636,1377
4676,-14436,9404,13686,-1415,1208
2340,-4196,14672,22462,-1883,10
12236,-4076,15008,32511,-4030,3172
7488,7708,13176,24358,-5864,7845
4984,9572,10312,3726,1252,1182
5748,9656,12976,-6361,798,-1146
6172,12248,12880,-9629,984,-4979
3804,-1904,13548,-21803,5071,-15942
6248,-2740,16324,-21437,11767,-5914
-3208,20,17152,-13202,590,-5925
4800,-10284,9660,-5238,3345,3694
2840,-9620,11392,-1967,-1507,4576
2836,-12276,8500,4591,-4020,85
6028,-7828,11444,16361,-2724,-627
3532,4684,9712,32511,-4864,-5
7400,18720,12536,17737,-268,2297
7752,12796,10224,691,3082,1835
5416,10116,12932,-6602,835,-1808
6352,9056,13084,-2667,-554,-2970
10440,16528,12960,-4569,-2113,-7088
3584,6388,14368,-22109,1135,-11775
5764,328,16672,-32512,465,-9964
4876,-10380,14984,-13977,4785,-9556
4720,-7676,11764,-9416,3456,-4645
6300,-12464,10440,-1027,1118,2960
3300,-9404,14028,-959,-1094,5424
2528,-13224,12440,10837,-785,3912
1676,-12656,14276,22619,-3278,4517
7296,-11608,16716,25956,-5359,7655
10612,11240,11860,32462,-6050,10411
5712,9524,12172,11461,-750,5028
7112,8996,11852,-3593,2853,2040
6444,6876,13104,-2677,-752,-4227
7872,12464,13388,-10168,4541,-7985
5092,3576,13240,-21834,4749,-12854
6404,1168,16596,-32512,379,-12336
8044,-8736,14904,-15386,6165,-5129
6648,-2592,12904,30851,-2799,11605
11484,9168,12868,32511,-4378,4035
3836,14020,12860,12094,-2084,2614
5352,11252,10496,713,2003,1720
5748,10944,13608,-4924,856,-2392
5548,7468,13176,-6911,843,-3755
9536,15732,13188,-16981,1215,-5822
5984,5164,14928,-28369,35,-12495
8212,-11728,13644,-14750,9150,-5927
3664,-10260,15712,-8316,1724,-7175
6224,-11716,12740,-2456,399,-3197
4880,-9376,12512,243,3987,650
3144,-9592,12480,-1208,743,4590
3792,-9820,13104,8643,86,3277
1920,-8884,13844,15768,-242,3688
5496,-11096,18752,26208,-2792,10600
11116,10108,14664,30726,-8623,8028
2388,12340,13156,10716,-2647,7615
5764,7984,12116,-2329,2226,1914
6536,7572,13604,-6027,1867,-2684
7868,8888,13216,-9484,2686,-8134
8780,4508,10920,-25597,7457,-11247
6960,1848,19548,-32512,2226,-16072
5868,-7900,16208,-20217,3901,-6456
4836,-11828,11724,-13432,2720,-3478
3020,-9732,10596,-4454,2285,1589
3580,-13072,10340,9558,-837,1376
3352,-10620,13816,20575,-2356,-100
4132,-4516,16464,13935,-1149,7652
3868,-6976,16620,31510,-3824,12764
11244,14888,16628,22434,-6011,8974
5652,10084,13496,4185,2750,1635
3872,7208,14236,-1279,1498,-1130
5592,9920,13928,-10341,-2676,-3949
9064,4704,13740,-18138,1908,-6303
5580,-492,16888,-25374,1149,-9692
4852,-11104,11868,-9811,8698,-7817
3816,-7256,14688,-11659,1429,-6482
5376,-9284,11752,-3967,2576,-1534
2944,-9836,13704,-3036,2291,3405
2432,-13180,10840,6169,-1110,1203
3756,-9384,14052,14829,-1840,1074
3532,-6852,20820,26934,-4637,10564
5000,2548,13392,25202,-8468,6879
7376,13456,14840,16602,-1526,3900
5756,8784,12848,825,3099,705
5576,9052,14764,-5844,1081,-3239
5336,7812,14168,-11310,707,-8414
4976,3524,14364,-14885,3471,-13598
6652,-2852,17564,-32512,1645,-9803
6548,-4408,15084,-14442,2876,-2432
3740,-9296,12860,-9006,3431,-5700
3492,-9744,12624,-3296,2841,-460
2824,-9836,12000,-2234,-1530,3037
4024,-13608,14268,11917,-4607,1523
3436,-10732,14316,22139,-3326,5027
6128,-2020,13220,30035,-2906,14562
8316,11112,15304,20908,-1994,7396
7456,12728,11576,4066,3186,4221
4800,6972,13808,-1797,2289,-2212
6292,10152,14668,-12382,-618,-9036
8452,11064,12324,-22706,8427,-10540
4436,-12,14852,-32512,2209,-7503
4816,-5760,15688,-19330,3806,-5000
5176,-11056,11476,-14210,2686,-2422
2652,-11184,11236,-3658,413,1762
4152,-12508,9272,9839,-2480,1650
6068,-7872,11352,20108,-1059,3028
